#Parameters = {Er=4.4; IE=60; P1=0; P2=-49.398; P3=177.553; P4=36.514; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (502) []"
#-------------------------------------
#"Theta / deg"	"Gain,Phi=0.0 (503) []"
#-------------------------------------
-180.00000000000	-22.572550307130
-179.00000000000	-22.982723445354
-178.00000000000	-23.504738540499
-177.00000000000	-24.145174102976
-176.00000000000	-24.909315341480
-175.00000000000	-25.796562129350
-174.00000000000	-26.789610902745
-173.00000000000	-27.831272061745
-172.00000000000	-28.784911881394
-171.00000000000	-29.405975552880
-170.00000000000	-29.426565839053
-169.00000000000	-28.782330193995
-168.00000000000	-27.681907791213
-167.00000000000	-26.398707059877
-166.00000000000	-25.112422911851
-165.00000000000	-23.905874243373
-164.00000000000	-22.807043407988
-163.00000000000	-21.817458607807
-162.00000000000	-20.934805541720
-161.00000000000	-20.148005205962
-160.00000000000	-19.447845177795
-159.00000000000	-18.825884458398
-158.00000000000	-18.274741147115
-157.00000000000	-17.788099013668
-156.00000000000	-17.360613223758
-155.00000000000	-16.987790350901
-154.00000000000	-16.665872559730
-153.00000000000	-16.391736483361
-152.00000000000	-16.162809234582
-151.00000000000	-15.977000844189
-150.00000000000	-15.832651421742
-149.00000000000	-15.728491250938
-148.00000000000	-15.663612320502
-147.00000000000	-15.637450220994
-146.00000000000	-15.649713839319
-145.00000000000	-15.700627115134
-144.00000000000	-15.790583057439
-143.00000000000	-15.920407361749
-142.00000000000	-16.091332412988
-141.00000000000	-16.305049692982
-140.00000000000	-16.563782907716
-139.00000000000	-16.870388364438
-138.00000000000	-17.228492175918
-137.00000000000	-17.642678470924
-136.00000000000	-18.118749903543
-135.00000000000	-18.664092991543
-134.00000000000	-19.288198922016
-133.00000000000	-20.003420108250
