#Parameters = {Er=4.4; IE=60; P1=0; P2=167.923; P3=-130.636; P4=17.382; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (1) []"
#-----------------------------------
-65.000000000000	-27.687530363682
-64.000000000000	-28.641693700812
-63.000000000000	-29.225553637160
-62.000000000000	-29.032867655805
-61.000000000000	-27.944508583875
-60.000000000000	-26.284033850717
-59.000000000000	-24.438660504659
-58.000000000000	-22.622793128731
-57.000000000000	-20.915038827669
-56.000000000000	-19.334598771812
-55.000000000000	-17.870538554268
-54.000000000000	-16.513192772796
-53.000000000000	-15.249842371251
-52.000000000000	-14.069086713530
-51.000000000000	-12.961254331865
-50.000000000000	-11.918316851440
-49.000000000000	-10.933661092731
-48.000000000000	-10.001846916170
-47.000000000000	-9.1183921832322
-46.000000000000	-8.2795941053407
-45.000000000000	-7.4823850070976
-44.000000000000	-6.7242172783713
-43.000000000000	-6.0029719881331
-42.000000000000	-5.3168863043339
-41.000000000000	-4.6644957502745
-40.000000000000	-4.0445881582341
-39.000000000000	-3.4561668773478
-38.000000000000	-2.8984213492359
-37.000000000000	-2.3707036001283
-36.000000000000	-1.8725095358019
-35.000000000000	-1.4034641874504
-34.000000000000	-0.96331026091376
-33.000000000000	-0.55195869693560
-32.000000000000	-0.16926088144129
-31.000000000000	0.18468324333683
-30.000000000000	0.50972238034876
-29.000000000000	0.80560801913068
-28.000000000000	1.0719923268759
-27.000000000000	1.3084239584521
-26.000000000000	1.5143416099429
-25.000000000000	1.6890650399239
-24.000000000000	1.8317831616249
-23.000000000000	1.9415386573183
-22.000000000000	2.0172083699372
-21.000000000000	2.0574784666613
-20.000000000000	2.0608130170235
-19.000000000000	2.0254141427323
-18.000000000000	1.9491712159972
-17.000000000000	1.8295956131194
-16.000000000000	1.6637675443636
-15.000000000000	1.4481556978171
-14.000000000000	1.1784986418781
-13.000000000000	0.84963669855964
-12.000000000000	0.45521998732016
-11.000000000000	-0.012671387619133
-10.000000000000	-0.56406938740239
-9.0000000000000	-1.2119099239247
-8.0000000000000	-1.9732195139477
-7.0000000000000	-2.8709412479948
-6.0000000000000	-3.9368144210160
-5.0000000000000	-5.2159775928162
-4.0000000000000	-6.7741132500474
-3.0000000000000	-8.7062079631321
-2.0000000000000	-11.128930176172
-1.0000000000000	-14.008572787521
0.0000000000000	-16.103544519099
1.0000000000000	-14.813539870644
2.0000000000000	-11.791580974788
3.0000000000000	-9.0452750578772
4.0000000000000	-6.8167567167385
5.0000000000000	-5.0003363375437
6.0000000000000	-3.4904550026109
7.0000000000000	-2.2124373131689
8.0000000000000	-1.1151097448921
9.0000000000000	-0.16276576062782
10.000000000000	0.67020436921691
11.000000000000	1.4026801091518
12.000000000000	2.0489316784825
13.000000000000	2.6199867549714
14.000000000000	3.1245347191504
15.000000000000	3.5695407230401
16.000000000000	3.9606729523147
17.000000000000	4.3026576661267
18.000000000000	4.5993245168924
19.000000000000	4.8539908973924
20.000000000000	5.0694645887092
